"","month","Min"
"1","01-01",65.03
"2","01-02",64.75
"3","01-03",64.43
"4","01-04",64.13
"5","01-05",63.26
"6","01-06",62.15
"7","01-07",61.19
"8","01-08",60.43
"9","01-09",59.48
"10","01-10",58.56
"11","01-11",57.75
"12","01-12",56.91
"13","01-13",56.09
"14","01-14",55.51
"15","01-15",54.83
"16","01-16",53.75
"17","01-17",52.55
"18","01-18",51.26
"19","01-19",50.09
"20","01-20",49
"21","01-21",48.26
"22","01-22",47.46
"23","01-23",46.32
"24","01-24",45.17
"25","01-25",43.93
"26","01-26",42.87
"27","01-27",41.98
"28","01-28",41.38
"29","01-29",40.84
"30","01-30",40.19
"31","01-31",39.52
"32","02-01",39.04
"33","02-02",38.57
"34","02-03",38.2
"35","02-04",37.97
"36","02-05",37.69
"37","02-06",37.11
"38","02-07",36.5
"39","02-08",35.8
"40","02-09",34.83
"41","02-10",33.83
"42","02-11",33.28
"43","02-12",33.07
"44","02-13",32.4
"45","02-14",31.78
"46","02-15",31.49
"47","02-16",31.1
"48","02-17",30.68
"49","02-18",30.45
"50","02-19",30.23
"51","02-20",29.96
"52","02-21",29.78
"53","02-22",29.59
"54","02-23",29.38
"55","02-24",29.07
"56","02-25",28.85
"57","02-26",28.69
"58","02-27",28.37
"59","02-28",26.88
"60","02-29",78.12
"61","03-01",25.56
"62","03-02",24.21
"63","03-03",23.31
"64","03-04",22.71
"65","03-05",22.13
"66","03-06",21.57
"67","03-07",21.04
"68","03-08",20.48
"69","03-09",20.23
"70","03-10",20.12
"71","03-11",20.09
"72","03-12",19.92
"73","03-13",19.71
"74","03-14",19.39
"75","03-15",19.2
"76","03-16",18.95
"77","03-17",18.54
"78","03-18",18.06
"79","03-19",17.36
"80","03-20",16.74
"81","03-21",16.11
"82","03-22",15.54
"83","03-23",15.18
"84","03-24",15.03
"85","03-25",14.93
"86","03-26",14.75
"87","03-27",14.6
"88","03-28",14.47
"89","03-29",14.33
"90","03-30",14.31
"91","03-31",14.46
"92","04-01",14.29
"93","04-02",14.25
"94","04-03",14.26
"95","04-04",14.36
"96","04-05",14.37
"97","04-06",14.41
"98","04-07",14.6
"99","04-08",14.88
"100","04-09",15.05
"101","04-10",15.15
"102","04-11",15.26
"103","04-12",15.4
"104","04-13",15.48
"105","04-14",15.67
"106","04-15",15.9
"107","04-16",16
"108","04-17",16.27
"109","04-18",16.62
"110","04-19",17.07
"111","04-20",17.48
"112","04-21",18.01
"113","04-22",18.66
"114","04-23",19
"115","04-24",19.33
"116","04-25",19.67
"117","04-26",19.99
"118","04-27",20.19
"119","04-28",20.58
"120","04-29",21.03
"121","04-30",21.35
"122","05-01",21.62
"123","05-02",21.8
"124","05-03",22.02
"125","05-04",22.29
"126","05-05",22.69
"127","05-06",23.17
"128","05-07",23.66
"129","05-08",24.2
"130","05-09",24.73
"131","05-10",25.33
"132","05-11",25.92
"133","05-12",26.6
"134","05-13",26.89
"135","05-14",27.17
"136","05-15",27.44
"137","05-16",27.71
"138","05-17",27.84
"139","05-18",27.91
"140","05-19",28.01
"141","05-20",28.28
"142","05-21",28.65
"143","05-22",28.93
"144","05-23",29.24
"145","05-24",29.52
"146","05-25",29.62
"147","05-26",29.73
"148","05-27",29.75
"149","05-28",29.89
"150","05-29",30.25
"151","05-30",30.69
"152","05-31",31.04
"153","06-01",31.46
"154","06-02",31.98
"155","06-03",32.47
"156","06-04",32.92
"157","06-05",33.47
"158","06-06",33.99
"159","06-07",34.31
"160","06-08",34.58
"161","06-09",34.74
"162","06-10",34.97
"163","06-11",35.23
"164","06-12",35.64
"165","06-13",36.07
"166","06-14",36.41
"167","06-15",36.61
"168","06-16",36.83
"169","06-17",37.15
"170","06-18",37.52
"171","06-19",38
"172","06-20",38.43
"173","06-21",38.83
"174","06-22",38.99
"175","06-23",39.19
"176","06-24",39.39
"177","06-25",39.65
"178","06-26",40.04
"179","06-27",40.47
"180","06-28",40.77
"181","06-29",41.09
"182","06-30",41.36
"183","07-01",41.71
"184","07-02",41.95
"185","07-03",42.45
"186","07-04",42.91
"187","07-05",43.3
"188","07-06",43.54
"189","07-07",43.71
"190","07-08",43.84
"191","07-09",44.13
"192","07-10",44.54
"193","07-11",44.95
"194","07-12",45.24
"195","07-13",45.28
"196","07-14",45.29
"197","07-15",45.47
"198","07-16",45.71
"199","07-17",45.94
"200","07-18",46.15
"201","07-19",46.29
"202","07-20",46.41
"203","07-21",46.45
"204","07-22",46.45
"205","07-23",46.8
"206","07-24",47.29
"207","07-25",47.68
"208","07-26",48.01
"209","07-27",48.39
"210","07-28",48.79
"211","07-29",49.16
"212","07-30",49.49
"213","07-31",49.84
"214","08-01",50.24
"215","08-02",50.6
"216","08-03",50.86
"217","08-04",51.16
"218","08-05",51.44
"219","08-06",51.89
"220","08-07",52.25
"221","08-08",52.59
"222","08-09",52.84
"223","08-10",53.09
"224","08-11",53.31
"225","08-12",53.49
"226","08-13",53.77
"227","08-14",54.15
"228","08-15",54.49
"229","08-16",54.78
"230","08-17",54.94
"231","08-18",55.13
"232","08-19",55.33
"233","08-20",55.62
"234","08-21",55.97
"235","08-22",56.34
"236","08-23",56.72
"237","08-24",57.11
"238","08-25",57.44
"239","08-26",57.81
"240","08-27",58.2
"241","08-28",58.62
"242","08-29",59.03
"243","08-30",59.39
"244","08-31",59.62
"245","09-01",59.83
"246","09-02",60.03
"247","09-03",60.26
"248","09-04",60.59
"249","09-05",60.94
"250","09-06",61.17
"251","09-07",61.36
"252","09-08",61.67
"253","09-09",61.99
"254","09-10",62.28
"255","09-11",62.63
"256","09-12",63.01
"257","09-13",63.25
"258","09-14",63.43
"259","09-15",63.57
"260","09-16",63.71
"261","09-17",63.88
"262","09-18",64.2
"263","09-19",64.51
"264","09-20",64.64
"265","09-21",64.8
"266","09-22",64.92
"267","09-23",65.2
"268","09-24",65.52
"269","09-25",66.06
"270","09-26",66.64
"271","09-27",67.06
"272","09-28",67.36
"273","09-29",67.73
"274","09-30",67.89
"275","10-01",68.21
"276","10-02",68.65
"277","10-03",69.25
"278","10-04",69.56
"279","10-05",70.05
"280","10-06",70.25
"281","10-07",70.21
"282","10-08",70.39
"283","10-09",70.75
"284","10-10",70.97
"285","10-11",70.94
"286","10-12",71.21
"287","10-13",71.08
"288","10-14",71.17
"289","10-15",71.28
"290","10-16",71.4
"291","10-17",71.53
"292","10-18",71.6
"293","10-19",71.72
"294","10-20",71.96
"295","10-21",71.89
"296","10-22",71.88
"297","10-23",71.84
"298","10-24",71.84
"299","10-25",71.68
"300","10-26",71.67
"301","10-27",72.05
"302","10-28",72.07
"303","10-29",72.08
"304","10-30",72.21
"305","10-31",72.29
"306","11-01",72.41
"307","11-02",72.17
"308","11-03",71.83
"309","11-04",71.57
"310","11-05",71.36
"311","11-06",71.41
"312","11-07",71.47
"313","11-08",71.17
"314","11-09",70.98
"315","11-10",70.75
"316","11-11",70.47
"317","11-12",70.11
"318","11-13",70.13
"319","11-14",70.21
"320","11-15",70.02
"321","11-16",69.71
"322","11-17",69.59
"323","11-18",69.54
"324","11-19",69.66
"325","11-20",69.78
"326","11-21",69.82
"327","11-22",69.53
"328","11-23",69.02
"329","11-24",68.46
"330","11-25",67.87
"331","11-26",67.31
"332","11-27",66.86
"333","11-28",66.41
"334","11-29",65.7
"335","11-30",65.12
"336","12-01",64.73
"337","12-02",64.15
"338","12-03",63.57
"339","12-04",63.21
"340","12-05",62.86
"341","12-06",62.2
"342","12-07",61.63
"343","12-08",61.04
"344","12-09",60.36
"345","12-10",59.78
"346","12-11",59.44
"347","12-12",59.27
"348","12-13",58.92
"349","12-14",58.54
"350","12-15",58.21
"351","12-16",57.94
"352","12-17",57.55
"353","12-18",57.33
"354","12-19",57.1
"355","12-20",56.39
"356","12-21",55.46
"357","12-22",54.58
"358","12-23",53.97
"359","12-24",53.67
"360","12-25",53.51
"361","12-26",53.29
"362","12-27",53.16
"363","12-28",53.07
"364","12-29",53.21
"365","12-30",53.39
"366","12-31",53.79
