"","gasDayStart","gasInStorage","full","trend","consumption","consumptionFull","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"984","2019-12-31",233.5577,97.14,-0.09,0,0,125.82,342.5,240.4233,3727.11,6442.45,"2019","12-31"
"985","2019-12-30",233.776,97.24,-0.13,0,0,63.95,373.6,240.4233,3727.11,6442.45,"2019","12-30"
"986","2019-12-29",234.0857,97.37,-0.08,0,0,64.13,258.6,240.4194,3727.05,6442.36,"2019","12-29"
"987","2019-12-28",234.2839,97.45,-0.07,0,0,83.38,240.2,240.4194,3727.05,6442.36,"2019","12-28"
"988","2019-12-27",234.4371,97.51,-0.05,0,0,40.44,161.6,240.4194,3727.05,6442.36,"2019","12-27"
"989","2019-12-26",234.5448,97.56,0.04,0,0,194.67,97.3,240.4194,3727.05,6442.36,"2019","12-26"
"990","2019-12-25",234.4474,97.52,0.05,0,0,203.1,86,240.4194,3727.05,6442.36,"2019","12-25"
"991","2019-12-24",234.3302,97.47,0.04,0,0,200.5,93.8,240.4194,3727.05,6442.36,"2019","12-24"
"992","2019-12-23",234.2337,97.43,0.01,0,0,132.87,97.4,240.4194,3727.05,6442.36,"2019","12-23"
"993","2019-12-22",234.2016,97.41,0.04,0,0,203.62,112.1,240.4213,3727.08,6442.41,"2019","12-22"
"994","2019-12-21",234.1101,97.37,0.05,0,0,222.38,111.3,240.4213,3727.08,6442.41,"2019","12-21"
"995","2019-12-20",233.9991,97.33,0,0,0,107.62,115.3,240.4213,3727.08,6442.41,"2019","12-20"
"996","2019-12-19",234.0059,97.33,0,0,0,158.63,146.8,240.4213,3727.08,6442.41,"2019","12-19"
"997","2019-12-18",233.9952,97.33,-0.09,0,0,43.93,257.3,240.4213,3727.08,6442.41,"2019","12-18"
"998","2019-12-17",234.2176,97.42,-0.06,0,0,144.64,280.2,240.4213,3727.08,6442.41,"2019","12-17"
"999","2019-12-16",234.3489,97.48,-0.06,0,0,104.23,256.7,240.4183,3727.08,6442.41,"2019","12-16"
"1000","2019-12-15",234.51,97.54,0.05,0,0,252.26,143.9,240.4164,3727.05,6442.36,"2019","12-15"
"1001","2019-12-14",234.4012,97.5,0,0,0,146.44,156.7,240.4164,3727.05,6442.36,"2019","12-14"
"1002","2019-12-13",234.4118,97.5,-0.16,0,0,56.44,429.5,240.4164,3727.05,6442.36,"2019","12-13"
"1003","2019-12-12",234.7983,97.66,-0.15,0,0,69.94,426.5,240.4164,3727.05,6442.36,"2019","12-12"
"1004","2019-12-11",235.1676,97.82,-0.2,0,0,35.49,513.7,240.4164,3727.05,6442.36,"2019","12-11"
"1005","2019-12-10",235.6428,98.01,-0.17,0,0,39.21,451.1,240.4164,3727.05,6442.36,"2019","12-10"
"1006","2019-12-09",236.055,98.19,-0.05,0,0,76.12,198.9,240.4164,3727.05,6442.36,"2019","12-09"
"1007","2019-12-08",236.1778,98.23,0.14,0,0,430.18,96.7,240.4242,3727.17,6442.54,"2019","12-08"
"1008","2019-12-07",235.844,98.09,0.07,0,0,283.4,105,240.4242,3727.17,6442.54,"2019","12-07"
"1009","2019-12-06",235.6659,98.02,-0.17,0,0,48.69,461.3,240.4242,3727.17,6442.54,"2019","12-06"
"1010","2019-12-05",236.0807,98.19,-0.17,0,0,35.21,432.7,240.4242,3727.17,6442.54,"2019","12-05"
"1011","2019-12-04",236.4762,98.36,-0.08,0,0,27.93,213.9,240.4242,3727.17,6442.54,"2019","12-04"
"1012","2019-12-03",236.6569,98.43,-0.03,0,0,124.57,202.4,240.4242,3727.17,6442.54,"2019","12-03"
"1013","2019-12-02",236.7397,98.47,-0.13,0,0,22.82,332.1,240.4242,3727.17,6442.54,"2019","12-02"
"1014","2019-12-01",237.049,98.59,-0.14,0,0,35.13,365.8,240.436,3727.35,6442.81,"2019","12-01"
"1015","2019-11-30",237.3801,98.73,-0.1,0,0,21.06,260.8,240.436,3727.35,6432.01,"2019","11-30"
"1016","2019-11-29",237.6203,98.83,-0.01,0,0,49.53,75.1,240.436,3727.35,6432.01,"2019","11-29"
"1017","2019-11-28",237.6502,98.84,0.06,0,0,149.19,11.8,240.436,3727.35,6432.01,"2019","11-28"
"1018","2019-11-27",237.5128,98.78,0.08,0,0,200.56,16.2,240.436,3727.35,6432.01,"2019","11-27"
"1019","2019-11-26",237.3285,98.71,-0.03,0,0,59.73,125.9,240.436,3727.35,6432.01,"2019","11-26"
"1020","2019-11-25",237.3946,98.74,-0.08,0,0,22.72,207.5,240.436,3727.35,6432.01,"2019","11-25"
"1021","2019-11-24",237.5794,98.81,0.06,0,0,164.87,13.8,240.4498,3727.56,6432.32,"2019","11-24"
"1022","2019-11-23",237.4284,98.74,0.08,0,0,216.78,24.7,240.4498,3727.56,6432.32,"2019","11-23"
"1023","2019-11-22",237.2363,98.66,-0.04,0,0,59.87,167.9,240.4498,3727.56,6432.32,"2019","11-22"
"1024","2019-11-21",237.348,98.71,-0.24,0,0,7.42,580.2,240.4498,3727.56,6432.32,"2019","11-21"
"1025","2019-11-20",237.9209,98.95,-0.2,0,0,6.1,479.4,240.4498,3727.56,6432.32,"2019","11-20"
"1026","2019-11-19",238.3906,99.14,-0.1,0,0,1.23,245.3,240.4498,3727.56,6432.32,"2019","11-19"
"1027","2019-11-18",238.6334,99.24,-0.03,0,0,9.67,91.8,240.4498,3727.56,6432.32,"2019","11-18"
"1028","2019-11-17",238.7155,99.29,0.02,0,0,74.54,38.4,240.4301,3727.26,6431.87,"2019","11-17"
"1029","2019-11-16",238.6794,99.27,0.02,0,0,89.17,38.4,240.4301,3727.26,6431.87,"2019","11-16"
"1030","2019-11-15",238.6287,99.25,-0.05,0,0,37.12,152,240.4301,3727.26,6431.87,"2019","11-15"
"1031","2019-11-14",238.7476,99.3,-0.06,0,0,20.57,167.2,240.4301,3727.26,6431.87,"2019","11-14"
"1032","2019-11-13",238.8983,99.36,-0.13,0,0,9.06,327,240.4301,3727.26,6431.87,"2019","11-13"
"1033","2019-11-12",239.2163,99.5,-0.1,0,0,15.19,254.5,240.4301,3727.26,6431.87,"2019","11-12"
"1034","2019-11-11",239.4556,99.59,-0.07,0,0,20.74,183.5,240.4301,3727.26,6431.87,"2019","11-11"
"1035","2019-11-10",239.6183,99.65,0.01,0,0,68.87,52.3,240.4557,3727.65,6432.45,"2019","11-10"
"1036","2019-11-09",239.6018,99.64,0.06,0,0,166.72,33.2,240.4557,3727.65,6432.45,"2019","11-09"
"1037","2019-11-08",239.4683,99.59,-0.01,0,0,52.52,71.6,240.4557,3727.65,6432.45,"2019","11-08"
"1038","2019-11-07",239.4885,99.6,-0.02,0,0,35.36,80.5,240.4557,3727.65,6432.45,"2019","11-07"
"1039","2019-11-06",239.3503,99.54,0.01,0,0,45.15,21.9,240.4557,3727.65,6432.45,"2019","11-06"
"1040","2019-11-05",239.524,99.61,0,0,0,55.4,53.6,240.4536,3727.65,6432.45,"2019","11-05"
"1041","2019-11-04",239.5192,99.65,0.07,0,0,168.45,12,240.3693,3727.65,6432.45,"2019","11-04"
"1042","2019-11-03",239.3644,99.58,0.16,0,0,399.67,7.4,240.3693,3727.65,6432.45,"2019","11-03"
"1043","2019-11-02",238.9721,99.42,0.17,0,0,410.25,7.5,240.3693,3727.65,6432.45,"2019","11-02"
"1044","2019-11-01",238.5694,99.25,-0.04,0,0,52.87,141.4,240.3693,3727.65,6432.45,"2019","11-01"
"1045","2019-10-31",238.6586,99.29,-0.15,0,0,31.52,397,240.358,3727.65,6432.45,"2019","10-31"
"1046","2019-10-30",239.0242,99.45,-0.11,0,0,24.34,298.7,240.358,3727.65,6432.45,"2019","10-30"
"1047","2019-10-29",239.2986,99.56,-0.05,0,0,15.98,141.1,240.3524,3727.65,6432.45,"2019","10-29"
"1048","2019-10-28",239.4208,99.64,-0.02,0,0,20.75,69.5,240.2962,3727.65,6432.45,"2019","10-28"
"1049","2019-10-27",239.4623,99.66,0.09,0,0,218.92,1.5,240.2884,3727.53,6432.27,"2019","10-27"
"1050","2019-10-26",239.2445,99.57,0.15,0,0,360.46,2,240.2884,3848.84,6634.55,"2019","10-26"
"1051","2019-10-25",238.8895,99.42,0.04,0,0,113.32,25.2,240.2724,3727.53,6432.27,"2019","10-25"
"1052","2019-10-24",238.8054,99.39,0.02,0,0,47.21,9.9,240.2711,3727.53,6432.27,"2019","10-24"
"1053","2019-10-23",238.7681,99.37,0,0,0,41.86,30.5,240.2711,3727.53,6432.27,"2019","10-23"
"1054","2019-10-22",238.7568,99.37,0,0,0,28.26,23.7,240.2651,3727.53,6432.27,"2019","10-22"
"1055","2019-10-21",238.7523,99.37,0.03,0,0,82.84,7.8,240.2651,3727.53,6432.27,"2019","10-21"
"1056","2019-10-20",238.671,99.34,0.11,0,0,268.24,6.1,240.2454,3727.44,6432.14,"2019","10-20"
"1057","2019-10-19",238.4088,99.24,0.09,0,0,224.71,5.4,240.2454,3727.44,6432.14,"2019","10-19"
"1058","2019-10-18",238.1957,99.15,0.01,0,0,143.93,112.5,240.2454,3727.44,6432.14,"2019","10-18"
"1059","2019-10-17",238.1643,99.13,0.04,0,0,106.43,6.6,240.2441,3727.44,6432.14,"2019","10-17"
"1060","2019-10-16",238.0644,99.12,0.02,0,0,70.13,23.3,240.1689,3727.44,6432.14,"2019","10-16"
"1061","2019-10-15",238.0141,99.1,0.05,0,0,146.11,22,240.1689,3727.44,6432.14,"2019","10-15"
"1062","2019-10-14",237.8885,99.05,0.06,0,0,149.42,7.1,240.1662,3727.44,6432.14,"2019","10-14"
"1063","2019-10-13",237.72,98.97,0.18,0,0,428.26,0,240.1859,3727.74,6432.58,"2019","10-13"
"1064","2019-10-12",237.3117,98.8,0.12,0,0,349.45,58.8,240.1859,3727.74,6432.58,"2019","10-12"
"1065","2019-10-11",237.0486,98.69,0.02,0,0,142.61,90.6,240.1859,3727.74,6432.58,"2019","10-11"
"1066","2019-10-10",237.0281,98.69,0.06,0,0,190.35,51.6,240.1842,3727.74,6432.58,"2019","10-10"
"1067","2019-10-09",236.8902,98.68,0,0,0,76.72,81.1,240.0648,3727.74,6432.58,"2019","10-09"
"1068","2019-10-08",236.8709,98.67,0,0,0,72.12,71.3,240.06,3727.74,6432.58,"2019","10-08"
"1069","2019-10-07",236.8581,98.67,0.01,0,0,83.28,54.5,240.0508,3727.74,6432.58,"2019","10-07"
"1070","2019-10-06",236.8294,98.66,0.09,0,0,238.27,19.3,240.0447,3727.8,6432.67,"2019","10-06"
"1071","2019-10-05",236.5992,98.56,0.08,0,0,216.39,17.4,240.0447,3727.8,6432.67,"2019","10-05"
"1072","2019-10-04",236.3888,98.48,0.01,0,0,96.91,73.3,240.0447,3727.8,6432.67,"2019","10-04"
"1073","2019-10-03",236.3597,98.49,0.05,0,0,131.72,16.3,239.9885,3727.8,6432.67,"2019","10-03"
"1074","2019-10-02",236.2392,98.44,0.09,0,0,223.95,9.5,239.9885,3727.8,6432.67,"2019","10-02"
"1075","2019-10-01",236.0198,98.37,0.1,0,0,262.27,28.2,239.9323,3727.8,6432.67,"2019","10-01"
"1076","2019-09-30",235.7842,98.02,0.14,0,0,331.38,3.2,240.5467,3727.8,6432.67,"2019","09-30"
"1077","2019-09-29",235.4545,97.92,0.23,0,0,553.46,10,240.4611,3726.56,6430.86,"2019","09-29"
"1078","2019-09-28",234.9093,97.69,0.19,0,0,464.69,2.1,240.4611,3726.56,6430.86,"2019","09-28"
"1079","2019-09-27",234.4449,97.5,0.09,0,0,236.56,12.9,240.4611,3726.56,6430.86,"2019","09-27"
"1080","2019-09-26",234.2122,97.41,0.04,0,0,148.85,64.7,240.4339,3726.56,6430.86,"2019","09-26"
"1081","2019-09-25",234.1263,97.38,-0.03,0,0,134.02,214.2,240.4339,3726.56,6430.86,"2019","09-25"
"1082","2019-09-24",234.204,97.41,0,0,0,132.95,125,240.4339,3726.56,6430.86,"2019","09-24"
"1083","2019-09-23",234.1902,97.4,0.05,0,0,135.12,22.6,240.4339,3726.56,6430.86,"2019","09-23"
"1084","2019-09-22",234.0805,97.36,0.12,0,0,287.31,5.5,240.4242,3726.41,6430.64,"2019","09-22"
"1085","2019-09-21",233.7968,97.24,0.1,0,0,276.6,36.5,240.4242,3726.41,6430.64,"2019","09-21"
"1086","2019-09-20",233.5704,97.15,0,0,0,148.55,147.8,240.4242,3726.41,6430.64,"2019","09-20"
"1087","2019-09-19",233.5672,97.15,-0.02,0,0,97.04,155.2,240.4242,3726.41,6430.64,"2019","09-19"
"1088","2019-09-18",233.6236,97.22,0,0,0,116.63,113.7,240.3052,3726.41,6430.64,"2019","09-18"
"1089","2019-09-17",233.6151,97.22,0.04,0,0,107.78,11.6,240.3052,3726.41,6430.64,"2019","09-17"
"1090","2019-09-16",233.5176,97.18,0.09,0,0,216.72,3.1,240.3052,3726.41,6430.64,"2019","09-16"
"1091","2019-09-15",233.3002,97.12,0.16,0,0,393.36,4,240.2195,3726.65,6430.99,"2019","09-15"
"1092","2019-09-14",232.9106,96.96,0.14,0,0,328.86,1.9,240.2195,3713.15,6454.99,"2019","09-14"
"1093","2019-09-13",232.6046,96.83,0.07,0,0,169.28,13.1,240.2195,3713.15,6454.99,"2019","09-13"
"1094","2019-09-12",232.4586,96.77,0.06,0,0,157.28,4.6,240.2195,3713.15,6454.99,"2019","09-12"
"1095","2019-09-11",232.304,96.7,0.06,0,0,158.42,23.3,240.2195,3713.15,6454.99,"2019","09-11"
"1096","2019-09-10",232.1654,96.67,0.03,0,0,125.2,47.3,240.1634,3713.15,6454.99,"2019","09-10"
"1097","2019-09-09",232.0854,96.64,0.02,0,0,125.25,69.2,240.1634,3713.15,6454.99,"2019","09-09"
"1098","2019-09-08",232.0274,96.72,0.06,0,0,221.06,72.4,239.8881,3713.91,6456.1,"2019","09-08"
"1099","2019-09-07",231.8767,96.66,0.04,0,0,177.43,77.9,239.8881,3713.91,6456.1,"2019","09-07"
"1100","2019-09-06",231.7751,96.62,0.08,0,0,236.48,39.7,239.8881,3713.91,6456.1,"2019","09-06"
"1101","2019-09-05",231.5737,96.61,0.11,0,0,261.25,8.3,239.6925,3712.78,6456.1,"2019","09-05"
"1102","2019-09-04",231.3197,96.51,0.16,0,0,403.59,14.3,239.6925,3712.78,6456.1,"2019","09-04"
"1103","2019-09-03",230.9247,96.34,0.22,0,0,552.21,29.2,239.6925,3712.78,6456.1,"2019","09-03"
"1104","2019-09-02",230.4819,96.16,0.17,0,0,418.39,8.6,239.6925,3712.78,6456.1,"2019","09-02"
"1105","2019-09-01",230.0506,96,0.28,0,0,670.67,8.7,239.6346,3711.88,6454.77,"2019","09-01"
"1106","2019-08-31",229.3819,95.72,0.31,0,0,751.86,12.7,239.6346,3711.88,6454.77,"2019","08-31"
"1107","2019-08-30",228.6782,95.43,0.17,0,0,427.58,11.7,239.6346,3711.88,6454.77,"2019","08-30"
"1108","2019-08-29",228.2933,95.27,0.1,0,0,287.31,48.9,239.6346,3711.88,6454.77,"2019","08-29"
"1109","2019-08-28",228.1021,95.29,0.14,0,0,362.79,35.3,239.3746,3711.88,6454.77,"2019","08-28"
"1110","2019-08-27",227.767,95.17,0.16,0,0,388.69,1.4,239.3246,3711.88,6454.77,"2019","08-27"
"1111","2019-08-26",227.3729,95,0.18,0,0,429.48,7.6,239.3369,3711.88,6454.77,"2019","08-26"
"1112","2019-08-25",226.9517,94.88,0.26,0,0,630.43,1.1,239.2015,3711.66,6454.46,"2019","08-25"
"1113","2019-08-24",226.3133,94.61,0.25,0,0,614.17,5.9,239.2015,3711.66,6454.46,"2019","08-24"
"1114","2019-08-23",225.7095,94.36,0.22,0,0,535.86,0,239.2015,3711.66,6454.46,"2019","08-23"
"1115","2019-08-22",225.1707,94.13,0.23,0,0,545.02,0.2,239.2015,3711.66,6454.46,"2019","08-22"
"1116","2019-08-21",224.623,93.94,0.25,0,0,607.73,8.5,239.1222,3711.66,6454.46,"2019","08-21"
"1117","2019-08-20",223.9871,93.73,0.24,0,0,572.8,4.5,238.9826,3711.66,6454.46,"2019","08-20"
"1118","2019-08-19",223.416,93.49,0.3,0,0,723.9,2.1,238.9826,3711.66,6454.46,"2019","08-19"
"1119","2019-08-18",222.6846,93.13,0.4,0,0,957.52,0.7,239.1082,3713.63,6457.33,"2019","08-18"
"1120","2019-08-17",221.7246,92.73,0.4,0,0,960.69,1.6,239.1082,3713.63,6457.33,"2019","08-17"
"1121","2019-08-16",220.7693,92.33,0.28,0,0,671.41,0.2,239.1082,3713.63,6457.33,"2019","08-16"
"1122","2019-08-15",220.0955,92.05,0.25,0,0,599.3,0.1,239.1082,3713.63,6457.33,"2019","08-15"
"1123","2019-08-14",219.4917,91.8,0.15,0,0,348.22,1.3,239.1082,3713.63,6457.33,"2019","08-14"
"1124","2019-08-13",219.1301,91.64,0.2,0,0,482.85,2.6,239.1082,3713.63,6457.33,"2019","08-13"
"1125","2019-08-12",218.6505,91.44,0.27,0,0,653.57,0.1,239.1082,3713.63,6457.33,"2019","08-12"
"1126","2019-08-11",218.0046,91.16,0.44,0,0,1050.14,0,239.1527,3714.33,6458.35,"2019","08-11"
"1127","2019-08-10",216.9389,90.71,0.45,0,0,1074.5,7.3,239.1527,3714.33,6458.35,"2019","08-10"
"1128","2019-08-09",215.8809,90.27,0.31,0,0,753.59,4,239.1527,3714.33,6458.35,"2019","08-09"
"1129","2019-08-08",215.1285,89.95,0.24,0,0,562.82,0.3,239.1527,3714.33,6458.35,"2019","08-08"
"1130","2019-08-07",214.5545,87.9,0.3,0,0,728.29,0.1,244.0927,3714.33,6458.35,"2019","08-07"
"1131","2019-08-06",213.8246,87.6,0.21,0,0,516.59,0.2,244.0927,3714.33,6458.35,"2019","08-06"
"1132","2019-08-05",213.3053,87.39,0.16,0,0,388.83,3.7,244.0927,3714.33,6458.35,"2019","08-05"
"1133","2019-08-04",212.9172,87.29,0.23,0,0,570.15,0.1,243.911,3711.48,6454.19,"2019","08-04"
"1134","2019-08-03",212.3444,87.06,0.22,0,0,545.1,3.2,243.911,3711.48,6454.19,"2019","08-03"
"1135","2019-08-02",211.7994,86.83,0.22,0,0,528.92,0,243.911,3711.48,6454.19,"2019","08-02"
"1136","2019-08-01",211.2723,86.62,0.23,0,0,549.23,0,243.911,3711.48,6454.19,"2019","08-01"
"1137","2019-07-31",210.7139,86.47,0.18,0,0,449.95,14.6,243.692,3711.48,6454.19,"2019","07-31"
"1138","2019-07-30",210.2824,86.29,0.18,0,0,470.49,37.9,243.692,3711.48,6454.19,"2019","07-30"
"1139","2019-07-29",209.8465,86.19,0.14,0,0,382.1,30.2,243.468,3711.48,6454.19,"2019","07-29"
"1140","2019-07-28",209.485,86,0.22,0,0,541.63,17,243.5763,3713.18,6456.67,"2019","07-28"
"1141","2019-07-27",208.9565,85.79,0.19,0,0,520.74,48.5,243.5763,3713.18,6456.67,"2019","07-27"
"1142","2019-07-26",208.4854,85.61,-0.01,0,0,237.53,250.2,243.5363,3713.18,6456.67,"2019","07-26"
"1143","2019-07-25",208.4935,85.61,0.01,0,0,245.88,227.5,243.5363,3713.18,6456.67,"2019","07-25"
"1144","2019-07-24",208.4704,85.6,-0.02,0,0,206.29,251.5,243.5363,3713.18,6456.67,"2019","07-24"
"1145","2019-07-23",208.5108,85.62,0.04,0,0,307.25,211.5,243.5363,3713.18,6456.67,"2019","07-23"
"1146","2019-07-22",208.4101,85.58,0.01,0,0,232.57,211.9,243.5363,3713.18,6456.67,"2019","07-22"
"1147","2019-07-21",208.4095,85.59,0.13,0,0,420.44,103.7,243.5034,3712.66,6455.92,"2019","07-21"
"1148","2019-07-20",208.0879,85.46,0.09,0,0,417.4,186.4,243.5034,3712.66,6455.92,"2019","07-20"
"1149","2019-07-19",207.8567,85.36,-0.07,0,0,239.88,406.9,243.5034,3712.66,6455.92,"2019","07-19"
"1150","2019-07-18",208.0188,85.5,-0.08,0,0,238.39,424.4,243.3034,3712.66,6455.92,"2019","07-18"
"1151","2019-07-17",208.1999,85.6,-0.07,0,0,214.77,396.9,243.2281,3712.66,6455.92,"2019","07-17"
"1152","2019-07-16",208.3785,85.67,-0.08,0,0,227.14,412,243.2281,3712.66,6455.92,"2019","07-16"
"1153","2019-07-15",208.5603,85.75,0.21,0,0,510.76,12,243.2281,3712.66,6455.92,"2019","07-15"
"1154","2019-07-14",208.0584,85.56,0.39,0,0,956.99,0,243.18,3712.14,6455.7,"2019","07-14"
"1155","2019-07-13",207.0977,85.16,0.37,0,0,888.24,0,243.18,3712.14,6455.7,"2019","07-13"
"1156","2019-07-12",206.2057,84.8,0.2,0,0,517.29,18.8,243.18,3712.14,6455.7,"2019","07-12"
"1157","2019-07-11",205.7035,84.59,0.16,0,0,404.98,18.4,243.18,3712.14,6455.7,"2019","07-11"
"1158","2019-07-10",205.3117,84.43,0.13,0,0,380.12,62.9,243.18,3712.14,6455.7,"2019","07-10"
"1159","2019-07-09",204.9883,84.37,0.02,0,0,233,179.5,242.955,3712.14,6455.7,"2019","07-09"
"1160","2019-07-08",204.9313,84.35,0.07,0,0,297.66,121.9,242.955,3712.14,6455.7,"2019","07-08"
"1161","2019-07-07",204.7462,84.27,0.33,0,0,797.93,0,242.9627,3712.26,6455.88,"2019","07-07"
"1162","2019-07-06",203.9446,83.94,0.33,0,0,795.01,0,242.9627,3712.26,6455.88,"2019","07-06"
"1163","2019-07-05",202.7889,83.47,0.23,0,0,574.4,19.2,242.9627,3712.26,6455.88,"2019","07-05"
"1164","2019-07-04",202.5833,83.38,0.17,0,0,433.27,18.5,242.9627,3712.26,6455.88,"2019","07-04"
"1165","2019-07-03",202.1703,83.21,0.15,0,0,411.27,46.6,242.9627,3712.26,6455.88,"2019","07-03"
